gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,2048,32,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,20.8957,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_xcd4_kw2_fp4,0.8%,15.3898,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce,1.7%,36.2855,0,0,0,16.65,33290.93,
gfx950,256,2,6144,2048,32,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,33.4609,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4,0.0%,21.8435,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_persist,1.8%,55.3044,0,0,0,21.84,21842.68,
gfx950,256,4,6144,2048,32,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,48.0225,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,30.2158,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce,1.8%,78.2383,0,0,0,30.88,15440.43,
gfx950,256,8,6144,2048,32,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,60.3324,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,0.8%,39.4129,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2_persist,1.7%,99.7453,0,0,0,48.44,12111.92,
gfx950,256,12,6144,2048,32,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,66.9674,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,0.8%,43.1111,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_persist,1.7%,110.0785,0,0,0,65.84,10975.63,
gfx950,256,16,6144,2048,32,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,70.264,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2,0.0%,43.0804,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_persist,1.6%,113.3444,0,0,0,85.26,10660.03,
gfx950,256,20,6144,2048,32,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,67.1777,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,0.8%,43.1513,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2,1.7%,110.329,0,0,0,109.49,10952.05,
gfx950,256,24,6144,2048,32,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,67.2017,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,0.8%,42.8189,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce,1.7%,110.0206,0,0,0,131.75,10983.42,
gfx950,256,28,6144,2048,32,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,70.38300000000001,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4,0.0%,43.4891,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2,1.7%,113.8721,0,0,0,148.51,10612.57,
gfx950,256,32,6144,2048,32,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,67.1168,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.8%,43.4059,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce,1.7%,110.5227,0,0,0,174.87,10934.85,
