gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,8,6144,2048,33,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,62.8143,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,0.8%,40.8046,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_persist,6.0%,103.6189,0,0,0,52.46,12023.44,
gfx950,256,16,6144,2048,33,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,67.7467,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,0.8%,43.6236,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_bnt2,6.0%,111.3703,0,0,0,97.62,11187.93,
gfx950,256,32,6144,2048,33,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,79.2807,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw2,0.0%,45.2833,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,6.1%,124.564,0,0,0,174.56,10005.28,
gfx950,256,64,6144,2048,33,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,81.85449999999999,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3,0.0%,45.9071,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,6.1%,127.7616,0,0,0,340.37,9759.49,
gfx950,256,128,6144,2048,33,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,84.4018,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_fp4,0.8%,49.6863,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist,6.0%,134.0881,0,0,0,648.63,9307.82,
gfx950,256,256,6144,2048,33,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,104.5298,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0,0.0%,62.0209,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_reduce,1.4%,166.5507,0,0,0,1044.4,7507.79,
gfx950,256,512,6144,2048,33,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,135.714,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0,0.0%,85.3143,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_bnt2,6.2%,221.0283,0,0,0,1573.97,5678.66,
gfx950,256,6144,6144,2048,33,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,833.6460000000001,moe_ck2stages_gemm1_256x128x128x128_1x4_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,660.9957,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_bnt2_persist_sbm128,6.1%,1494.6417,0,0,0,2793.12,909.22,
gfx950,256,16384,6144,2048,33,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1962.3227,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_fp4,0.8%,1738.3373,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_bnt2_persist,6.1%,3700.66,0,0,0,3008.26,418.22,
gfx950,256,4096,6144,2048,33,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,580.6120999999999,moe_ck2stages_gemm1_256x128x128x128_1x4_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,446.971,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_persist_sbm128,6.1%,1027.5831,0,0,0,2708.43,1285.74,
